Month,BNF_Name,QTY,NIC
2023-07-01,Daridorexant 25mg tablets,0,0.0
2023-07-01,Daridorexant 50mg tablets,0,0.0
2023-07-01,Quviviq 25mg tablets,0,0.0
2023-07-01,Quviviq 50mg tablets,0,0.0
2023-08-01,Daridorexant 25mg tablets,0,0.0
2023-08-01,Daridorexant 50mg tablets,0,0.0
2023-08-01,Quviviq 25mg tablets,0,0.0
2023-08-01,Quviviq 50mg tablets,0,0.0
2023-09-01,Daridorexant 25mg tablets,0,0.0
2023-09-01,Daridorexant 50mg tablets,30,42.0
2023-09-01,Quviviq 25mg tablets,0,0.0
2023-09-01,Quviviq 50mg tablets,0,0.0
2023-10-01,Daridorexant 25mg tablets,0,0.0
2023-10-01,Daridorexant 50mg tablets,90,126.0
2023-10-01,Quviviq 25mg tablets,30,42.0
2023-10-01,Quviviq 50mg tablets,0,0.0
2023-11-01,Daridorexant 25mg tablets,840,1176.0
2023-11-01,Daridorexant 50mg tablets,1369,1916.6
2023-11-01,Quviviq 25mg tablets,30,42.0
2023-11-01,Quviviq 50mg tablets,150,210.0
2023-12-01,Daridorexant 25mg tablets,2286,3200.4
2023-12-01,Daridorexant 50mg tablets,1868,2615.2
2023-12-01,Quviviq 25mg tablets,150,210.0
2023-12-01,Quviviq 50mg tablets,30,42.0
2024-01-01,Daridorexant 25mg tablets,4085,5719.0
2024-01-01,Daridorexant 50mg tablets,3627,5077.8
2024-01-01,Quviviq 25mg tablets,238,333.2
2024-01-01,Quviviq 50mg tablets,88,123.2
2024-02-01,Daridorexant 25mg tablets,6566,9192.4
2024-02-01,Daridorexant 50mg tablets,7131,9983.4
2024-02-01,Quviviq 25mg tablets,282,394.8
2024-02-01,Quviviq 50mg tablets,240,336.0
2024-03-01,Daridorexant 25mg tablets,9786,13700.4
2024-03-01,Daridorexant 50mg tablets,11614,16259.6
2024-03-01,Quviviq 25mg tablets,548,767.2
2024-03-01,Quviviq 50mg tablets,360,504.0
2024-04-01,Daridorexant 25mg tablets,12878,18029.2
2024-04-01,Daridorexant 50mg tablets,16886,23640.4
2024-04-01,Quviviq 25mg tablets,508,711.2
2024-04-01,Quviviq 50mg tablets,656,918.4
2024-05-01,Daridorexant 25mg tablets,14482,20274.8
2024-05-01,Daridorexant 50mg tablets,22338,31273.2
2024-05-01,Quviviq 25mg tablets,546,764.4
2024-05-01,Quviviq 50mg tablets,570,798.0
2024-06-01,Daridorexant 25mg tablets,15968,22355.2
2024-06-01,Daridorexant 50mg tablets,23519,32926.6
2024-06-01,Quviviq 25mg tablets,1147,1605.8
2024-06-01,Quviviq 50mg tablets,656,918.4
2024-07-01,Daridorexant 25mg tablets,21091,29527.4
2024-07-01,Daridorexant 50mg tablets,33765,47271.0
2024-07-01,Quviviq 25mg tablets,1260,1764.0
2024-07-01,Quviviq 50mg tablets,1254,1755.6
2024-08-01,Daridorexant 25mg tablets,24107,33749.8
2024-08-01,Daridorexant 50mg tablets,39970,55958.0
2024-08-01,Quviviq 25mg tablets,1222,1710.8
2024-08-01,Quviviq 50mg tablets,1227,1717.8
2024-09-01,Daridorexant 25mg tablets,28195,39473.0
2024-09-01,Daridorexant 50mg tablets,45966,64352.4
2024-09-01,Quviviq 25mg tablets,753,1054.2
2024-09-01,Quviviq 50mg tablets,1348,1887.2
2024-10-01,Daridorexant 25mg tablets,37241,52137.4
2024-10-01,Daridorexant 50mg tablets,64105,89747.0
2024-10-01,Quviviq 25mg tablets,1402,1962.8
2024-10-01,Quviviq 50mg tablets,1489,2084.6
2024-11-01,Daridorexant 25mg tablets,43448,60827.2
2024-11-01,Daridorexant 50mg tablets,74589,104424.6
2024-11-01,Quviviq 25mg tablets,1421,1989.4
2024-11-01,Quviviq 50mg tablets,2626,3676.4
2024-12-01,Daridorexant 25mg tablets,50801,71121.4
2024-12-01,Daridorexant 50mg tablets,86562,121186.8
2024-12-01,Quviviq 25mg tablets,1646,2304.4
2024-12-01,Quviviq 50mg tablets,2978,4169.2
2025-01-01,Daridorexant 25mg tablets,61719,86406.6
2025-01-01,Daridorexant 50mg tablets,107220,150108.0
2025-01-01,Quviviq 25mg tablets,2035,2849.0
2025-01-01,Quviviq 50mg tablets,3207,4489.8
2025-02-01,Daridorexant 25mg tablets,61087,85521.8
2025-02-01,Daridorexant 50mg tablets,116385,162939.0
2025-02-01,Quviviq 25mg tablets,1579,2210.6
2025-02-01,Quviviq 50mg tablets,3249,4548.6
2025-03-01,Daridorexant 25mg tablets,71764,100469.6
2025-03-01,Daridorexant 50mg tablets,137961,193145.4
2025-03-01,Quviviq 25mg tablets,2264,3169.6
2025-03-01,Quviviq 50mg tablets,3935,5509.0
2025-04-01,Daridorexant 25mg tablets,76668,107335.2
2025-04-01,Daridorexant 50mg tablets,147939,207114.6
2025-04-01,Quviviq 25mg tablets,2072,2900.8
2025-04-01,Quviviq 50mg tablets,4680,6552.0
2025-05-01,Daridorexant 25mg tablets,94964,132949.6
2025-05-01,Daridorexant 50mg tablets,170260,238364.0
2025-05-01,Quviviq 25mg tablets,2183,3056.2
2025-05-01,Quviviq 50mg tablets,5398,7557.2
2025-06-01,Daridorexant 25mg tablets,103797,145315.8
2025-06-01,Daridorexant 50mg tablets,195093,273130.2
2025-06-01,Quviviq 25mg tablets,2453,3434.2
2025-06-01,Quviviq 50mg tablets,5835,8169.0
