Month,QTY
2023-07-01,0.0
2023-08-01,0.0
2023-09-01,10.0
2023-10-01,37.5
2023-11-01,507.8
2023-12-01,1145.5
2024-01-01,2130.1428571428573
2024-02-01,3641.25
2024-03-01,5715.333333333333
2024-04-01,8236.6
2024-05-01,10936.545454545454
2024-06-01,13466.0
2024-07-01,18246.833333333332
2024-08-01,23790.666666666668
2024-09-01,30143.333333333332
2024-10-01,38819.75
2024-11-01,48794.333333333336
2024-12-01,60265.416666666664
2025-01-01,74110.66666666667
2025-02-01,88117.41666666667
2025-03-01,104252.08333333333
2025-04-01,120954.66666666667
2025-05-01,140527.08333333334
2025-06-01,162684.41666666666
