Month,QTY,NIC,ITEMS
2023-07-01,0,0.0,0
2023-08-01,0,0.0,0
2023-09-01,30,42.0,1
2023-10-01,120,168.0,4
2023-11-01,2389,3344.6,76
2023-12-01,4334,6067.6,142
2024-01-01,8038,11253.2,267
2024-02-01,14219,19906.6,460
2024-03-01,22308,31231.2,744
2024-04-01,30928,43299.2,994
2024-05-01,37936,53110.4,1253
2024-06-01,41290,57806.0,1339
2024-07-01,57370,80318.0,1900
2024-08-01,66526,93136.4,2250
2024-09-01,76262,106766.8,2538
2024-10-01,104237,145931.8,3488
2024-11-01,122084,170917.6,4131
2024-12-01,141987,198781.8,4751
2025-01-01,174181,243853.4,5893
2025-02-01,182300,255220.0,6155
2025-03-01,215924,302293.6,7313
2025-04-01,231359,323902.6,7896
2025-05-01,272805,381927.0,9321
2025-06-01,307178,430049.2,10580
