ICB_Code,ICB_Name,Product_Group,BNF_Name,Quviviq_Type,Month,QTY,NIC,ITEMS,Cost_per_Item,Items_per_Pack
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2023-07-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2023-08-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2023-09-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2023-10-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2023-11-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2023-12-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-01-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-02-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-03-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-04-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-05-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-06-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-07-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-08-01,30,42.0,1,42.0,30.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-09-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-10-01,30,42.0,1,42.0,30.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-11-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2024-12-01,90,126.0,2,63.0,45.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2025-01-01,30,42.0,1,42.0,30.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2025-02-01,120,168.0,4,42.0,30.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2025-03-01,150,210.0,5,42.0,30.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2025-04-01,180,252.0,6,42.0,30.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2025-05-01,60,84.0,2,42.0,30.0
7A1,Betsi Cadwaladr University,Quviviq 25,Daridorexant 25mg tablets,Primary,2025-06-01,90,126.0,3,84.0,60.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2023-07-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2023-08-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2023-09-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2023-10-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2023-11-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2023-12-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2024-01-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2024-02-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2024-03-01,0,0.0,0,0.0,0.0
7A1,Betsi Cadwaladr University,Quviviq 25,Quviviq 25mg tablets,Primary,2024-04-01,0,0.0,0,0.0,0.0
