Month,Product_Group,QTY,NIC
2023-07-01,Quviviq 25,0,0.0
2023-07-01,Quviviq 50,0,0.0
2023-08-01,Quviviq 25,0,0.0
2023-08-01,Quviviq 50,0,0.0
2023-09-01,Quviviq 25,0,0.0
2023-09-01,Quviviq 50,0,0.0
2023-10-01,Quviviq 25,30,42.0
2023-10-01,Quviviq 50,0,0.0
2023-11-01,Quviviq 25,720,1008.0
2023-11-01,Quviviq 50,859,1202.6
2023-12-01,Quviviq 25,2316,3242.4
2023-12-01,Quviviq 50,1658,2321.2
2024-01-01,Quviviq 25,4293,6010.2
2024-01-01,Quviviq 50,3355,4697.0
2024-02-01,Quviviq 25,6848,9587.2
2024-02-01,Quviviq 50,6471,9059.4
2024-03-01,Quviviq 25,10334,14467.6
2024-03-01,Quviviq 50,11284,15797.6
2024-04-01,Quviviq 25,13198,18477.2
2024-04-01,Quviviq 50,16822,23550.8
2024-05-01,Quviviq 25,14728,20619.2
2024-05-01,Quviviq 50,21798,30517.2
2024-06-01,Quviviq 25,16845,23583.0
2024-06-01,Quviviq 50,23265,32571.0
2024-07-01,Quviviq 25,21871,30619.4
2024-07-01,Quviviq 50,33819,47346.6
2024-08-01,Quviviq 25,24512,34316.8
2024-08-01,Quviviq 50,39173,54842.2
2024-09-01,Quviviq 25,28063,39288.2
2024-09-01,Quviviq 50,46070,64498.0
2024-10-01,Quviviq 25,37055,51877.0
2024-10-01,Quviviq 50,64294,90011.6
2024-11-01,Quviviq 25,42771,59879.4
2024-11-01,Quviviq 50,75625,105875.0
2024-12-01,Quviviq 25,50819,71146.6
2024-12-01,Quviviq 50,88460,123844.0
2025-01-01,Quviviq 25,61894,86651.6
2025-01-01,Quviviq 50,108787,152301.8
2025-02-01,Quviviq 25,61586,86220.4
2025-02-01,Quviviq 50,118194,165471.6
2025-03-01,Quviviq 25,72258,101161.2
2025-03-01,Quviviq 50,140816,197142.4
2025-04-01,Quviviq 25,77481,108473.4
2025-04-01,Quviviq 50,151419,211986.6
2025-05-01,Quviviq 25,94973,132962.2
2025-05-01,Quviviq 50,173767,243273.80000000002
2025-06-01,Quviviq 25,104819,146746.6
2025-06-01,Quviviq 50,198407,277769.8
