Month,QTY,NIC,ITEMS
2023-07-01,0,0.0,0
2023-08-01,0,0.0,0
2023-09-01,0,0.0,0
2023-10-01,30,42.0,1
2023-11-01,1579,2210.6,49
2023-12-01,3974,5563.6,130
2024-01-01,7648,10707.2,254
2024-02-01,13319,18646.6,430
2024-03-01,21618,30265.2,721
2024-04-01,30020,42028.0,963
2024-05-01,36526,51136.4,1206
2024-06-01,40110,56154.0,1299
2024-07-01,55690,77966.0,1844
2024-08-01,63685,89159.0,2154
2024-09-01,74133,103786.2,2465
2024-10-01,101349,141888.6,3391
2024-11-01,118396,165754.4,4007
2024-12-01,139279,194990.6,4660
2025-01-01,170681,238953.4,5776
2025-02-01,179780,251692.0,6071
2025-03-01,213074,298303.6,7218
2025-04-01,228900,320460.0,7813
2025-05-01,268740,376236.0,9183
2025-06-01,303226,424516.4,10447
